academic_year,division,team_name,org_id,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage,wins,losses,ties,games_played,wp,opp_wp,opp_opp_wp,rpi,schedule_difficulty_score,schedule_difficulty_rank,sos_avg_opp_win_pct,sos_avg_opp_offense,sos_avg_opp_defense,sos_std_opp_win_pct,sos_stats_rank
2014,1,Air Force,103551,ECAC,11-6,6.41,6.24,0.848,0.494,29.12,0.65,0.4,,18.12,9.06,9.41,2.29,11.71,0.285,11.94,0.647,11.0,6.0,0.0,17.0,0.6470588235294118,0.4757294070283507,0.490212526313458,0.5221825409748928,0.46206839231268465,47,0.46073333333333333,15.498,10.564,0.2172256788585446,48
2014,1,Army West Point,103552,Patriot,9-5,5.57,7.0,0.839,0.535,27.14,0.651,0.317,,15.71,8.5,7.21,2.93,10.14,0.272,12.93,0.643,9.0,5.0,0.0,14.0,0.6428571428571429,0.4330921471152564,0.4873208049894409,0.4990905605192741,0.4103465547488527,60,0.4109230769230769,14.104615384615386,10.32076923076923,0.2505051700797538,60
2014,1,Bellarmine,103495,ECAC,7-5,5.75,8.92,0.921,0.402,24.42,0.652,0.267,,15.17,9.92,8.58,0.83,9.42,0.246,14.67,0.583,7.0,5.0,0.0,12.0,0.5833333333333334,0.4475799935358759,0.4830473129750744,0.4903851583450399,0.44917503195337216,52,0.44775000000000004,15.368333333333332,10.733333333333334,0.17508575279940208,52
2014,1,Binghamton,103496,America East,7-8,6.07,6.87,0.904,0.463,26.0,0.551,0.417,,15.6,10.07,10.6,-1.07,9.53,0.285,12.07,0.467,7.0,8.0,0.0,15.0,0.4666666666666667,0.5174710910005028,0.4902678675104839,0.497969179044539,0.5153816409450079,26,0.5165,17.061428571428568,10.48214285714286,0.1266924002681861,26
2014,1,Boston U.,103497,Patriot,2-12,4.57,7.5,0.769,0.548,26.21,0.615,0.407,,11.79,12.36,11.0,-3.79,7.21,0.219,18.93,0.143,2.0,12.0,0.0,14.0,0.1428571428571428,0.4980245303249505,0.4660370175592816,0.4012358052665813,0.4983625824671155,32,0.4981428571428571,15.27,9.652142857142858,0.2195816988024721,32
2014,1,Brown,103498,Ivy League,8-6,5.93,6.64,0.86,0.509,30.5,0.593,0.302,,16.07,13.0,10.64,-0.5,10.14,0.287,16.64,0.571,8.0,6.0,0.0,14.0,0.5714285714285714,0.4966184550743375,0.5207490256861272,0.5213536268158434,0.495748529574715,33,0.4966428571428571,15.759285714285713,10.13857142857143,0.17079587112057695,33
2014,1,Bryant,103499,NEC,16-5,6.05,5.24,0.86,0.678,34.1,0.77,0.422,,16.33,11.43,7.9,2.38,10.29,0.289,16.38,0.762,16.0,5.0,0.0,21.0,0.7619047619047619,0.4535572776118995,0.4926929594408578,0.5404280691423546,0.4626376369612048,45,0.4627894736842106,14.972105263157893,10.32736842105263,0.22569205357542257,45
2014,1,Bucknell,103500,Patriot,7-8,4.6,9.47,0.882,0.342,27.07,0.642,0.405,,13.4,10.87,8.67,0.13,8.8,0.229,12.47,0.467,7.0,8.0,0.0,15.0,0.4666666666666667,0.4936566592448945,0.4830223876925189,0.4842505932122437,0.48838978651853954,37,0.48885714285714277,14.645,9.455,0.2618254208827099,37
2014,1,Canisius,103501,MAAC,7-8,5.07,4.87,0.879,0.551,26.07,0.483,0.298,,13.67,10.53,9.47,-0.87,8.6,0.257,13.53,0.467,7.0,8.0,0.0,15.0,0.4666666666666667,0.4542425917735516,0.4843949551102042,0.4648867013309935,0.4406064582250466,54,0.44057142857142856,15.529285714285717,10.544999999999998,0.23235093970903903,55
2014,1,Colgate,103502,Patriot,9-7,3.94,6.94,0.858,0.598,29.69,0.653,0.266,,12.38,9.88,8.88,-0.44,8.44,0.258,15.31,0.563,9.0,7.0,0.0,16.0,0.5625,0.5104410193564606,0.4879312526832109,0.517828322849033,0.48731575717712705,38,0.4871428571428571,15.44,9.780714285714286,0.23587643773287534,39
