academic_year,division,team_name,org_id,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage,wins,losses,ties,games_played,wp,opp_wp,opp_opp_wp,rpi
2014,1,Air Force,103551,ECAC,11-6,6.41,6.24,0.848,0.494,29.12,0.65,0.4,,18.12,9.06,9.41,2.29,11.71,0.285,11.94,0.647,,,,,,,,
2014,1,Army West Point,103552,Patriot,9-5,5.57,7.0,0.839,0.535,27.14,0.651,0.317,,15.71,8.5,7.21,2.93,10.14,0.272,12.93,0.643,,,,,,,,
2014,1,Bellarmine,103495,ECAC,7-5,5.75,8.92,0.921,0.402,24.42,0.652,0.267,,15.17,9.92,8.58,0.83,9.42,0.246,14.67,0.583,,,,,,,,
2014,1,Binghamton,103496,America East,7-8,6.07,6.87,0.904,0.463,26.0,0.551,0.417,,15.6,10.07,10.6,-1.07,9.53,0.285,12.07,0.467,,,,,,,,
2014,1,Boston U.,103497,Patriot,2-12,4.57,7.5,0.769,0.548,26.21,0.615,0.407,,11.79,12.36,11.0,-3.79,7.21,0.219,18.93,0.143,,,,,,,,
2014,1,Brown,103498,Ivy League,8-6,5.93,6.64,0.86,0.509,30.5,0.593,0.302,,16.07,13.0,10.64,-0.5,10.14,0.287,16.64,0.571,,,,,,,,
2014,1,Bryant,103499,NEC,16-5,6.05,5.24,0.86,0.678,34.1,0.77,0.422,,16.33,11.43,7.9,2.38,10.29,0.289,16.38,0.762,,,,,,,,
2014,1,Bucknell,103500,Patriot,7-8,4.6,9.47,0.882,0.342,27.07,0.642,0.405,,13.4,10.87,8.67,0.13,8.8,0.229,12.47,0.467,,,,,,,,
2014,1,Canisius,103501,MAAC,7-8,5.07,4.87,0.879,0.551,26.07,0.483,0.298,,13.67,10.53,9.47,-0.87,8.6,0.257,13.53,0.467,,,,,,,,
2014,1,Colgate,103502,Patriot,9-7,3.94,6.94,0.858,0.598,29.69,0.653,0.266,,12.38,9.88,8.88,-0.44,8.44,0.258,15.31,0.563,,,,,,,,
2014,1,Cornell,103503,Ivy League,11-5,7.13,7.94,0.875,0.517,34.94,0.653,0.443,,19.88,10.75,9.56,3.19,12.75,0.32,14.38,0.688,,,,,,,,
2014,1,Dartmouth,103504,Ivy League,2-10,4.0,9.58,0.8,0.405,31.58,0.432,0.238,,12.25,11.08,13.33,-5.08,8.25,0.22,17.25,0.167,,,,,,,,
2014,1,Delaware,103505,CAA,7-9,5.19,6.88,0.854,0.596,29.69,0.661,0.289,,14.31,10.56,9.0,0.13,9.13,0.273,14.81,0.438,,,,,,,,
2014,1,Denver,103506,Big East,16-3,7.37,5.95,0.885,0.485,29.32,0.629,0.405,,20.58,10.68,8.47,4.74,13.21,0.371,11.16,0.842,,,,,,,,
2014,1,Detroit Mercy,103507,MAAC,6-8,6.5,7.79,0.794,0.407,27.21,0.673,0.708,,15.64,16.07,9.64,-0.5,9.14,0.274,17.71,0.429,,,,,,,,
2014,1,Drexel,103508,CAA,13-5,6.44,6.28,0.891,0.606,31.78,0.578,0.38,,18.06,11.28,10.33,1.28,11.61,0.286,14.72,0.722,,,,,,,,
2014,1,Duke,103509,ACC,17-3,9.0,6.35,0.894,0.577,35.05,0.663,0.373,,23.85,9.6,9.65,5.2,14.85,0.358,13.8,0.85,,,,,,,,
2014,1,Fairfield,103510,ECAC,12-4,5.69,6.88,0.881,0.476,28.69,0.707,0.356,,17.0,9.94,8.44,2.88,11.31,0.369,12.44,0.75,,,,,,,,
2014,1,Furman,103511,ASUN,1-12,3.77,4.23,0.822,0.533,24.31,0.692,0.226,,11.08,11.54,13.85,-6.54,7.31,0.22,17.85,0.077,,,,,,,,
2014,1,Georgetown,103512,Big East,4-10,5.07,5.86,0.829,0.653,33.07,0.633,0.368,,13.71,10.57,10.79,-2.14,8.64,0.245,15.93,0.286,,,,,,,,
2014,1,Hartford,103513,America East,6-9,5.13,7.93,0.877,0.541,33.8,0.629,0.286,,15.13,10.27,10.4,-0.4,10.0,0.246,14.87,0.4,,,,,,,,
